,Agriculture,Climate,Date,Fires,Landscape,Source,Water_use,Major_topic,Headline1,Headline2,Headline3,Headline4,Headline5,Nation,Region,id
16,0.015414939,0.020948761,1-Jan-06,0.027462116,0.018495623,All Newspapers,0.016700366,Fires and Storms,Soaker Won't Be A Drought-Buster,Long-Awaited Rain May Fall By The Bucket,Forecasters Expect Wet Weekend,"Chicago Area Digs Out From Downpours, Keeps Eye On Menacing Overnight Forecast","Region Digs Out From Storms, Keeps Eye On Menacing Forecast",Fires and Storms,Fires and Storms,
17,0.007200882,0.02304186,1-Jan-07,0.020596276,0.018520643,All Newspapers,0.024609815,Water Use,"One City Is Mandating Conservation, But Water Officials Have Spent Years Building Reserves","MWD Warns Of Water Cuts, Higher Rates",Put A Knot In L.A.'s Hose,"Unlike Its Neighbor, L.A. Goes With The Flow",Resort Town Thirsts For Solutions,Water Use,Water Use,
18,0.012933371,0.020389333,1-Jan-08,0.015134121,0.021055076,All Newspapers,0.024384596,Water Use,Drought Plan Opens Deep Rifts Over Fairness,California's Continuing Water Crisis May Mean The End Of The State As We Have Known It,Agency Sues Over MWD Drought Plan,MWD May Cut Water To Area Cities,Drought Plan Likely To Pass Despite Strong Objections,Water Use,Water Use,
19,0.009084726,0.022384229,1-Jan-09,0.020614911,0.019714928,All Newspapers,0.024134068,Water Use,California's Water Crisis: A Utility That Fills Its Own Aquifers,Metro Water Plan: What Level Of Commitment?,California's Water Crisis: Best Answer To State's Water Woes May Be You,Looking East For A Water Supply,Water Speculators Fishing For Profit Amid Supply Fears,Water Use,Water Use,
20,0.020081081,0.025215808,1-Jan-10,0.01939128,0.023657908,All Newspapers,0.017183913,Climate Change,GOP Is Warming Up To Skepticism,Climate Skepticism A GOP Litmus Test,"Climate Change: A Tale Of He Said, He Said","Small Oceanic States, Already Hurt By Global Warming, Voice Their Concerns At Summit",Climate Fight Heats Up Amid Flurry Of Storms,Climate Change,Climate Change,
21,0.019768524,0.020994581,1-Jan-11,0.027795277,0.017535056,All Newspapers,0.014501241,Fires and Storms,Rain Helps Tame Texas Wildfires,Don Offers A Chance Of Relief For Austin,Rain Gives Crews An Edge; Texas Drought To Linger,"Blazes Go Underground, Fueling Wintertime Fears",Fall's First Big Rain Brings Temporary Relief From Heat,Fires and Storms,Fires and Storms,
22,0.035798491,0.017960614,1-Jan-12,0.024200401,0.013787851,All Newspapers,0.01486205,Agriculture,"Drought, Heat Wave Leave Iowa Farms Still Parched, Despite Rain",Iowa Fields Still Parched After Rain,Kernels Of Hope Fade With USDA Report,Corn Outlook Dimmer In New USDA Report,Iowa Farms Stand To Suffer As Crop Ratings Plummet,Agriculture,Agriculture,
23,0.01914742,0.023384418,1-Jan-13,0.024967389,0.014041086,All Newspapers,0.018670564,Fires and Storms,May Miracle' Is Just In Time; Unusual Rainfall Helps Crews Battling Springs Fire,"Big Sur Blaze Now 74 Percent Contained, Officials Say",Storm Could Ease Drought In Plains,Weather To Give Fire Crews A Boost In Fight Against California Blaze,Storm Dumps 2 Inches Of Rain At Rush Hour,Fires and Storms,Fires and Storms,
24,0.012973326,0.026863064,1-Jan-14,0.02552011,0.012146512,All Newspapers,0.023187909,Climate Change,Panel Warns Of Warming's Wide Effects,Climate Change Threats Mounting,Experts Warn Climate Shift Threats Rising,"Climate Threat Is Here, Report Warns",Climate Change Report Stark,Climate Change,Climate Change,
25,0.007954732,0.022144614,1-Jan-15,0.026526166,0.012583578,All Newspapers,0.028982365,Water Use,"Because Of Drought, Water Wholesaler Will Impose Surcharges",Southland Water Supplier Is Set To Cut Deliveries To Cities And Districts By 15% To Save Dwindling Reserves,Taming Of The Spew,Beyond Shorter Showers,Up To 35% Cut In Water Use Urged,Water Use,Water Use,
43,0.018771381,0.012337846,1-Jan-96,0.027416337,0.01238996,Austin American-Statesman,0.025185382,Fires and Storms,Dolly's No Drought-Breaker For Texas,"Rain Helps Dry Lawns, Gives Farmers Little Relief",Showers Do Little To Slake April's Thirst,Fall Arrives Today After Stormy End To Dusty Summer,"Storm Drops 2 Inches Of Rain, Causes Outages",Fires and Storms,Fires and Storms,48000
44,0.013177355,0.025437954,1-Jan-97,0.024258344,0.01474497,Austin American-Statesman,0.02223882,Climate Change,Industry Changing Its Stance On Global Warming,Greenhouse Gas Pact Gets Down To Wire,Clinton Offers Slower Global Warming Plan,Global Warming Talks Stall,,Climate Change,Climate Change,48000
45,0.018668944,0.025860171,1-Jan-98,0.036616383,0.011029252,Austin American-Statesman,0.015170734,Fires and Storms,Charley Rains On Central Texas,Drought Gets Doused,"Central Texas Soaks Up The Shower, But Gets The Same Parched Forecast",Stingy Skies Squeeze Out A Little Rain,Soggy Air Mass Hovers Over Area,Fires and Storms,Fires and Storms,48000
46,0.016616732,0.02043648,1-Jan-99,0.034246253,0.010976998,Austin American-Statesman,0.018995298,Fires and Storms,Austin Dodges Heavy Shower,Front Leaves Central Texas Cooler But Still Short On Rain,"Slow, Steady Rain, Cooler Air Expected","In Pockets Of America, Drought Becomes Severe",Central Texas' Winter Forecast: Mild,Landscaping,Fires and Storms,48000
47,0.009011683,0.013638778,1-Jan-00,0.034292752,0.01123249,Austin American-Statesman,0.030453727,Fires and Storms,Central Texas Gets A Soaking,Downpours Are Unrelenting In Central Texas,Austin Area Welcomes Coming Rain,Wildfires Leave Thousands In Lurch,Mexico And South Texas Brace For Tropical Storm,Fires and Storms,Fires and Storms,48000
48,0.009361902,0.016766736,1-Jan-01,0.023864643,0.011271267,Austin American-Statesman,0.030143368,Water Use,"Pumping Request Roils Canyon Lake Waters, River Authority Says Water Needed For Growth",Water Secured For San Antonio,Critics Of State Water Plan Make Case For Conservation,Vote On Water District Divides Blanco County,Foundation Hopes To Protect Rivers With Water Rights,Climate Change,Fires and Storms,48000
49,0.010554734,0.016717083,1-Jan-02,0.030864697,0.028701307,Austin American-Statesman,0.01972499,Fires and Storms,Storms Forecast To Start Tonight,"Showers Take A Toll, But Won't On The 4th","When El Nino Storms In, They'll Be Ready",Summertime Has Been A Hot And Humid Affair,"The Calendar Read July, But It Felt More Like May",Fires and Storms,Fires and Storms,48000
50,0.004838665,0.012859811,1-Jan-03,0.024609755,0.035084166,Austin American-Statesman,0.022985309,Landscaping,"Sure, Evergreens Help Conceal Your Home's Foundation, But Why Not Use The Plants In Your Garden As Well?","Gardener's Eco-Friendly, Water-Saving Ways Draw First Green Award",Friends For The Long Haul,Not Sure What To Do With That Ugly Dirt Patch?,Does Your Urge To Garden Overflow Your Small Space?,Water Use,Water Use,48000
51,0.00877777,0.016675762,1-Jan-04,0.026473441,0.019634579,Austin American-Statesman,0.02642669,Fires and Storms,2 Killed In Wrecks As Rain Soaks The Region,Train Of Storms Rumbles Across Region,Forecasters Say Rain's End Probably Just Days Away,"Rainmaker Shrugs Off Scoffers, Sows Seeds",,Landscaping,Fires and Storms,48000
52,0.008583754,0.014008447,1-Jan-05,0.039319081,0.011841274,Austin American-Statesman,0.020789455,Fires and Storms,Wet Winter? Weather Wizards Can't Agree,"Finally, The Skies Let Us Have It ; Drought-Stricken Area Gets A Soaking",More Fires Breaking Out As Drought Makes Conditions Dangerous,Tonight's Cold Front Could Slam Door On Central Texas' Especially Hot Year,Summer Has Shown A Split Personality In Central Texas,Fires and Storms,Climate Change,48000
53,0.007572667,0.012910401,1-Jan-06,0.036690509,0.012761587,Austin American-Statesman,0.025192276,Fires and Storms,Soaker Won't Be A Drought-Buster,Long-Awaited Rain May Fall By The Bucket,"Rain May Fall, But Drought Will Stay",Mild Showers May Turn Mean,Mother Nature Is Toying With Us Again,Fires and Storms,Fires and Storms,48000
54,0.008543038,0.033947248,1-Jan-07,0.027989805,0.01161185,Austin American-Statesman,0.026468762,Climate Change,Climate Change's Ripple Effect,"A Drier Austin, A Hotter Texas, A Sinking Coast","U.S., Other Pacific Rim Countries Set Targets To Ease Climate Change",Policy Change At Mercy Of Political Climate,China Weighs Fiscal Gains vs. Ecological Losses,Water Use,Water Use,48000
55,0.009955412,0.014544278,1-Jan-08,0.03457394,0.018640572,Austin American-Statesman,0.023158561,Fires and Storms,Edouard Deluge On Way,"Rainfall At Airport Swamps Record, Tops February Total","Edouard 'Pretty Much Done,' But Areas Are Hoping For Rain",Prospect Of Weekend Rain May Shower Us With Relief,"Keep Umbrellas, Heavier Coats Handy This Week, Experts Say",Water Use,Water Use,48000
56,0.00902175,0.010792795,1-Jan-09,0.030361845,0.016701592,Austin American-Statesman,0.028308981,Fires and Storms,Say Farewell To Scorching Summer,"Fires Hit Fort Hood, N. Texas",It's Hotter Than An Austin Summer,Tornado Strikes Near Jonah,"Mild El Nino Could Bring Rain, Ease Drought, Specialists Say",Water Use,Water Use,48000
57,0.007796452,0.013039858,1-Jan-10,0.02526788,0.024305651,Austin American-Statesman,0.022883034,Fires and Storms,A Summer Of 2 Types Of Discontent,Area Only Dreaming Of A Wet Christmas,Mild Drought On The Horizon,Weather Watchers Recruiting Volunteers Who Anticipate Precipitation,"Even Without Ice, Frigid Weather Takes Toll On Pipes, Plants",Climate Change,Landscaping,48000
58,0.009994624,0.012137921,1-Jan-11,0.033315297,0.019841558,Austin American-Statesman,0.022515583,Fires and Storms,Don Offers A Chance Of Relief For Austin,FallsS First Big Rain Brings Temporary Relief From Heat,"Stormy Weather Expected To Linger Through Evening, Drop Some Moisture",1 Charged In Fire,Storm Expected To Bring Relief,Fires and Storms,Fires and Storms,48000
59,0.009176595,0.011809172,1-Jan-12,0.030079184,0.013266344,Austin American-Statesman,0.028672366,Fires and Storms,Storms Slam Austin Area,"Amid Soggy July, Lakes Still Low","Forecast Sees Heavy Rain, Flooding; Lake Levels Not Expected To Change Storms: Rain Total So Far 6 Inches Above Norm",Storm Front To Deliver More Rain; Strong Winds Likely This Morning,"Hot, Dry June Ups Risk For Wildfire",Agriculture,Fires and Storms,48000
60,0.009494998,0.015098767,1-Jan-13,0.024989888,0.009208164,Austin American-Statesman,0.034341994,Water Use,LCRA Likely To OK Plan,Landowners Anxious Over Plans To Sell Their Water,When The Water Runs Dry,LCRA Reservoir Not On State Priority List,Water Plan Needs Revise More Study,Fires and Storms,Climate Change,48000
61,0.009978753,0.012032032,1-Jan-14,0.021520984,0.009156845,Austin American-Statesman,0.035450473,Water Use,Sea Turtle Concern May Lead To Colorado River Suit,Legislator Fights New LCRA Reservoir,Water Utility Seeking Supplies,Water Rates May Go Up To Increase Supplies,Recreational Interests Want Say In Water Plan,Climate Change,Climate Change,48000
62,0.008177309,0.013464567,1-Jan-15,0.036315245,0.008521055,Austin American-Statesman,0.031225137,Fires and Storms,No Halt To Rains; Floods Possible,Lakes Could See Tiny Rise; Mild Summer Likely,More Rainfall In Forecast After System Soaks Region,Stormy Night To Clear Up For Treats,Latest Rainfalls Set Texas Records,Water Use,Climate Change,48000
95,0.035237268,0.023618979,1-Jan-96,0.015595383,0.023515323,Chicago Tribune,0.011380595,Agriculture,Farmers' Hopes Blooming As Signs Of Profit Crop Up A Strong Season Could Help Make Up For Last Year's Losses,Drought Feeds Uncertainty Of Wheat Belt Farming,Food Costs Soar; Other Prices Hold,Inflation Worries Watered Down,"Inflation Forecasts Fed By Fact Or Fear? A Call For Calm As Grain Supplies Dwindle, Causing Prices To Climb",Fires and Storms,Agriculture,17000
96,0.020934652,0.040443081,1-Jan-97,0.021582226,0.017942978,Chicago Tribune,0.009146857,Climate Change,Differing Agendas On Display At Global Warming Conference How Much To Reduce Emissions And By When Divides Nations,Hot Air From Kyoto,"To Battle Global Warming, Clinton Gambles On Free-Market Forces","Environment Global Warming Will Kill, Health Specialists Predict","On Texas Farms, Feast Or Famine Theories On Drought, Wild Weather Baffle Farmers",Climate Change,Climate Change,17000
97,0.024205321,0.029301835,1-Jan-98,0.028207116,0.011377065,Chicago Tribune,0.00729144,Climate Change,Study Says El Ninos Getting Stronger Global Warming Suspected In Change,Warm Up To Reality,"In Sudan's Struggle, `Food Is A Weapon Of War'","UN's Pride: Anti-Mine Pact, Genocide Court But Report Sees Other Peril",El Nino May Alter Role Of Amazon's Rain Forest Researchers Say Trees Produce Carbon Dioxide,Fires and Storms,Climate Change,17000
98,0.033000025,0.022684423,1-Jan-99,0.0200215,0.02039319,Chicago Tribune,0.009244451,Agriculture,"Effects Of Drought Will Trim Yields, Raise Corn, Soybean Prices",Farmers' Hopes Wilt Under Blooming Harvest Forecasts,Bumper Crops--And Aid On The Way Congress Prepares Billions In Assistance,Farmers Wait Amid Continued Price Rout Abundant Crops Produce Loss As Demand Declines In Glutted Markets Andasians Eat Less Meat And Import Less Feed Grain,Futures Survey To Show Effect Of Weather On Corn Crop,Landscaping,Agriculture,17000
99,0.033038393,0.030995169,1-Jan-00,0.017871685,0.014305113,Chicago Tribune,0.006745288,Agriculture,"Record Harvest Reaping No Joy Low Corn, Soybean Prices To Cost Billions Of Dollars In Subsidies",Quick Corn Harvest Brings Mixed Blessings To Midwest,"Rain Nourishes Hope Of Healthy Grain Crops, And Dampens Prices","Heat Expected To Give Some Crop Prices A Lift August Tough On Midwest, South",Crop Futures Weather Rain Storms Had Little Effect On Crop Prices As Drought Fears Linger,Fires and Storms,Agriculture,17000
100,0.022811037,0.039385902,1-Jan-01,0.015608539,0.015582224,Chicago Tribune,0.011077703,Climate Change,Bush Defends Rejection Of Climate Treaty,UN Report Warns Of Global Climate Changes,World Leaders Will Revisit Warming Pact,"More Dissent Descends On Kyoto Pact Eu, `Sink' Nations Fight Over Quotas, Violation Penalties",UN Projects Rise In Global Temperatures Could Spark Disasters,Climate Change,Agriculture,17000
101,0.026112076,0.032092327,1-Jan-02,0.016953152,0.024328519,Chicago Tribune,0.010236061,Climate Change,"Climate Change Gets A Hearing; Firms, Countries Clamor For Action","Kyoto Pact Support Growing, Some Say; Supporters Cheer As Japan, Europe Ratify Climate Deal",Strange Bedfellows; Ties Between Traditional Environmental Foes Warm Up,Global Warming Talks Shift Toward Adaptation,Outlook Dim For Earth Summit,Fires and Storms,Agriculture,17000
102,0.02309901,0.021251539,1-Jan-03,0.021565025,0.027037998,Chicago Tribune,0.007614421,Landscaping,"Lazy Does It; There's No Better Time To Grab A Cool Drink, Sit Back And Smell The Roses",Wildflowers Need Little Care In The Garden,"Sowing Intrigue; For A Well-Seasoned Garden, Herbs Add Color, Texture And Aroma","Suddenly Susan; From Woodland To Border, A Native Flower Adds Drama In Sun Or Shade Series","For Showy Display, Try Perennial Tulips",Water Use,Agriculture,17000
103,0.021079297,0.020162144,1-Jan-04,0.026157769,0.022213933,Chicago Tribune,0.007788524,Fires and Storms,Half-Foot Rains In 3 Hours Monday Have Northeast Iowa Reeling,Autumn's First Storm A Record-Breaker Out West,Hurricane Threat Shifts From The Southeast To The Southwest,Pacific Storms Begin To Slake Stubborn Western Drought,Intense Autumn Storm Threatens Rare October Severe Weather Outbreak,Landscaping,Agriculture,17000
104,0.015072866,0.010873377,1-Jan-05,0.047869003,0.016694217,Chicago Tribune,0.006133793,Fires and Storms,The Great Chicago Fire: Part One Of A Two-Part Series,"Weather 'Hot Spots' In The United States: California Rain, Texas Drought",August To Open As July Closed: Warm And Dry,Arlene's Rain Remts Still Could Influence Chicago,"Hot Start, Only One Good Chance Of Rain This Week",Fires and Storms,Agriculture,17000
105,0.016877117,0.017816151,1-Jan-06,0.043617081,0.012687657,Chicago Tribune,0.006105033,Fires and Storms,"Chicago Area Digs Out From Downpours, Keeps Eye On Menacing Overnight Forecast","Region Digs Out From Storms, Keeps Eye On Menacing Forecast","Chicago Digs Out From Storms, Keeps Eye On Menacing Forecast","Crews Search For Victims In Towns Swept By Blazes; Fires Vex Oklahoma, Texas, New Mexico",A Week Of Highs In The 80s Ahead For Chicago,Fires and Storms,Agriculture,17000
106,0.010585309,0.033978172,1-Jan-07,0.035041968,0.014630992,Chicago Tribune,0.009091772,Fires and Storms,Saturated States Brace For More,Three Disturbances To Impact Nation's Drought Areas,Blinding Rains Swamp City; Put Damper On Very Dry Month,"Big Snows, Thundery Downpours, Gyrating Temps To Accompany New Storm","Extreme Drought, 100 M.P.H. Gusts, Render Southern California A Tinderbox",Water Use,Agriculture,17000
107,0.023277209,0.028479873,1-Jan-08,0.017074198,0.033931452,Chicago Tribune,0.005929037,Landscaping,Seeds In The City,A Lush Lawn Doesn't Live Here Anymore,These Plants Never Say Die,"With Mulching, Foxtail Lily Will Thrive In Your Garden",On The Water Front,Water Use,Agriculture,17000
108,0.005462743,0.037524715,1-Jan-09,0.027138387,0.027790686,Chicago Tribune,0.004206796,Climate Change,Nations Hash Out Climate Deal,Scientists: Australia Sign Of Warming To Come,Climate Change Refugees On Rise,G-8 Leaders Agree On Climate Target,Panel Sees Bigger Risk For Global Warming,Water Use,Agriculture,17000
109,0.007662262,0.030922925,1-Jan-10,0.022200825,0.036811271,Chicago Tribune,0.00348566,Landscaping,Allies Or Enemies?,Binging On Fringe Tree's Showy Beauty,Let The Dreaming Begin,"Reveling In The Beauty, Benefits Of Wildflowers",Tuliptree: Blooms For June,Climate Change,Agriculture,17000
110,0.012183599,0.032089116,1-Jan-11,0.020709943,0.022147446,Chicago Tribune,0.00379321,Climate Change,Climate Change Remains Cold Topic At U.N. Talks,Warming Evangelist Is Voice In Wilderness,U.N. Report Warns Of Extreme Weather,U.N.: Clean Energy Could Be Norm,U.N.: Fossil Fuels Can Be Drop In The Bucket,Fires and Storms,Agriculture,17000
111,0.031258835,0.015558739,1-Jan-12,0.029384862,0.019242964,Chicago Tribune,0.005404511,Agriculture,Dry Heat Bakes Corn,Down & Drought,Dire Report On Drought Sparks Fears Of Food Crisis,Soybean Crop Hopes Wilting,"Acreage Fetches Top Dollar, Stretches Rural Income Gap",Agriculture,Agriculture,17000
112,0.013833974,0.021340038,1-Jan-13,0.026282731,0.030117873,Chicago Tribune,0.00795251,Landscaping,Pachysandra Needs Help,Flower Disease Is Devastating U.S. Impatiens,Potting Mix Is Draining,Fragrant Pink Jasmine Ideal Winter Houseplant,Low And Lovely,Fires and Storms,Agriculture,17000
113,0.016053262,0.036887388,1-Jan-14,0.013573275,0.022487571,Chicago Tribune,0.013879723,Climate Change,Climate Change Report Stark,Global Warming Threat Escalated In U.N. Report,Promises On Climate,Climate Change Back On Agenda,U.N. Draft Report Intensifies Its Warnings On Changing Climate,Climate Change,Climate Change,17000
114,0.012835841,0.030428821,1-Jan-15,0.016463632,0.032321307,Chicago Tribune,0.013784964,Landscaping,Native Plants At Home In Any Garden,Growing Beyond Hostas: Enliven Your Shade,"Mulch, Ground Covers Make More Sense Around Trees",Too Much Water Is As Harmful To Plants As Not Getting Enough,"Autumn Watering Useful, Especially For New Plants",Water Use,Climate Change,17000
132,0,0.01684465,1-Jan-10,0.107279843,0.000247917,Foxnews.com,0.009104477,Fires and Storms,Biggest Storm Yet Heads Toward Southern California As Residents Prepare To Evacuate,"Northeast Storm Brings Sheets Of Rain, High Winds",5 Dead As Drenching Rains Take Aim At New England,Hot Weather Worsens Growing Wildfires In 3 States,Flood Waters Wash Away 4 Homes In Ariz. As Hundreds Of Homes Evacuated In Calif,Climate Change,Fires and Storms,
133,0.016567024,0.015836857,1-Jan-11,0.064614324,0.005110382,Foxnews.com,0.012520954,Fires and Storms,Texas Wildfire's New Path Helping Firefighters,Texas Forest Service Suspects Wildfire Started With Power Line Sparks,Grass Fires Destroy Homes Near Oklahoma City,"Wildfires Scorch Thousands Of Acres In Texas, Kill 2","Texas Wildfire Consumes 150,000 Acres",Fires and Storms,Fires and Storms,
134,0.027687094,0.026737195,1-Jan-12,0.037764969,0.004799183,Foxnews.com,0.012465999,Fires and Storms,Record-Setting NM Fire Spreading In All Directions,"Colorado Blaze Devours Houses, Chars Land On Air Force Academy",Wildfire Victims Crowd Shelters As Fight Continues,Wildfires Threaten Summer Rocky Mountain Tourism,"Hundreds Evacuated As Colo., NM Fires Spread",Agriculture,Fires and Storms,
135,0.014387799,0.013897728,1-Jan-13,0.061133046,0.007384856,Foxnews.com,0.01139335,Fires and Storms,"Big Sur Blaze Now 74 Percent Contained, Officials Say",Weather To Give Fire Crews A Boost In Fight Against California Blaze,"Officials Say 1,000 Firefighters Still Battling Big Sur Blaze In Northern California",Double Trouble In Great Plains: 3.5 Feet Of Snow In Sd Black Hills; 15 Hurt In Neb. Tornado,Second Blizzard In A Week Slams Plains Region Leaves 2 Dead,Fires and Storms,Fires and Storms,
136,0.007341999,0.011810758,1-Jan-14,0.061630142,0.003250526,Foxnews.com,0.020229364,Fires and Storms,"Rain, Snow To Hit Drought-Struck California","Long-Sought Big Storm Promising Heavy Rain, Snow Won'T End Drought California, Forecasters Say",Rain Hits Northern California Ahead Of Powerful Storm,No Significant Drought Dent But No Serious Damage Either As Storm Covers California,California Storms Spark Huge Mudslide,Climate Change,Fires and Storms,
137,0.006782415,0.009227974,1-Jan-15,0.049135085,0.003581062,Foxnews.com,0.025421324,Fires and Storms,"Wet, Windy Storm Moves Into San Francisco Bay Area; Up To 10 Inches Expected Over Weekend","Latest Western Storm Brings Danger Of Flooding, Hope Of Relief In Drought-Stricken States","Weather Pattern Brings Spring-Like Warmth To Northeast, Heavy Snow To West",Round 2 Of Cold Storm Sweeps Into Southern California; Heavy Rain Led To Several Rescues,"Western Wildfires: Wind, Heat Fueling Large Blazes Chasing People From Homes In Dry States",Water Use,Fires and Storms,
0,0.006298537,0.009511699,1-Jan-99,0.010557577,0.04985634,The Arizona Republic,0.019978983,Landscaping,Flowering Friends For Small Places,Lithops Marvelous Masters Of Disguise,Transplants Need Help Starting Off,Hot Colors For Summer Some Bloomers Actually Thrive In Arizona's Sun,Mountain Laurel Needs Little Care,Landscaping,Landscaping,4000
1,0.00328333,0.013006698,1-Jan-00,0.020121255,0.039165569,The Arizona Republic,0.015592748,Landscaping,Here How To Comfort Weeping Fig,Planning Is Key Tool In Desert Gardening Scottsdale Expert Offers 'Hot' Tips,Bottle Tree Sudden Decline Calls For Expert,"Aussie Plants At Home In Our Desert Eucalyptus Trees, Other Flora Thrive In The Alkalinity, Heat Of The Valley",Trim Hibiscus After Frost Threat Ends,Fires and Storms,Landscaping,4000
2,0.005069825,0.015078025,1-Jan-01,0.010765705,0.037560774,The Arizona Republic,0.016538931,Landscaping,"Jacaranda Loves Heat, But Frequent Watering Can Cause Yellowing",Crimson In Clover Bright Flowers Perfect Accents In Xeriscape,Thrips Are Likely Cause Of Curling Citrus Leaves,Radishes Require Cool Season For Growing,"Plants, Trees Also Must Recuperate From Summer Prolonged Heat",Climate Change,Landscaping,4000
3,0.004364614,0.011887571,1-Jan-02,0.017167919,0.019907034,The Arizona Republic,0.025254603,Water Use,Watering Down Valley's Lifestyle Cities Step Up Conservation Education,Chandler Leads In Wise Water Use,Flow To Improve In San Pedro River Nature Conservancy Buys Big Farm,State Water Woes Barely Surface As Campaign Issue,"Drought Won't Hurt Chandler Cap, Wells Alternate Sources",Fires and Storms,Water Use,4000
4,0.004218169,0.011075686,1-Jan-03,0.015444507,0.021095769,The Arizona Republic,0.026419918,Water Use,Interior To Sign Colorado River Water Deal Arizona A Winner In Lengthy Battle,Water Expert Sounds Alarm For Arizona Dry Run For A Growing Drought,Storms Boost Water Supply But Lake Levels Still Far Below Normal,Rates Rising To Maintain Water Supply But Cap Board's Delay May Prompt Home-Building Rush,Don't Stop Saving Water,Water Use,Water Use,4000
5,0.004464378,0.011623997,1-Jan-04,0.013530198,0.023968819,The Arizona Republic,0.025231397,Water Use,Farmers Fear Dry Future Cities Covet Water From Fertile Valley's Near River's End,3 States OK Deal Saving River Water,"Drought Diminishes River Ranchers, Cities Near Headwaters Are Last In Line For Water",'New Drought Of Record' Calls For Wise Use Of Water,Nature Demands Her Share Lake Powell Is At The Heart Of The Battle Over Restoring Natural Flow,Landscaping,Water Use,4000
6,0.003505251,0.011609804,1-Jan-05,0.014375244,0.029833545,The Arizona Republic,0.022931146,Landscaping,Heat Won't Wilt These Plants,Firespike Adapts To Desert Climate,Plants Can Hamper Fires,10 Plants Appropriate For Season,Plant Sales: omething For Everyone',Fires and Storms,Landscaping,4000
